Timestamp,Predicted,Confidence,Intent,Transition
2025-03-30 13:32:06,yes,0.96,True,start
2025-03-30 13:32:06,yes,0.96,True,-
2025-03-30 13:32:06,yes,0.96,True,-
2025-03-30 13:32:06,yes,0.96,True,-
2025-03-30 13:32:06,yes,0.96,True,-
2025-03-30 13:32:06,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:07,yes,0.96,True,-
2025-03-30 13:32:08,yes,0.96,True,-
2025-03-30 13:32:08,yes,0.96,True,-
2025-03-30 13:32:08,yes,0.96,True,-
2025-03-30 13:32:08,yes,0.96,True,-
2025-03-30 13:32:08,yes,0.96,True,-
2025-03-30 13:32:08,yes,0.96,True,-
2025-03-30 13:32:09,yes,0.96,True,-
2025-03-30 13:32:09,yes,0.96,True,-
2025-03-30 13:32:09,yes,0.96,True,-
2025-03-30 13:32:09,yes,0.96,True,-
2025-03-30 13:32:09,yes,0.96,True,-
2025-03-30 13:32:09,yes,0.96,True,-
2025-03-30 13:32:10,yes,0.96,True,-
2025-03-30 13:32:10,yes,0.96,True,-
2025-03-30 13:32:10,yes,0.96,True,-
2025-03-30 13:32:11,yes,0.96,True,-
2025-03-30 13:32:11,yes,0.96,True,-
2025-03-30 13:32:11,yes,0.96,True,-
2025-03-30 13:32:11,yes,0.96,True,-
2025-03-30 13:32:12,yes,0.96,True,-
2025-03-30 13:32:12,yes,0.96,True,-
2025-03-30 13:32:13,yes,0.96,True,-
2025-03-30 13:32:13,yes,0.96,True,-
2025-03-30 13:32:13,yes,0.96,True,-
2025-03-30 13:32:14,yes,0.96,True,-
2025-03-30 13:32:14,yes,0.96,True,-
2025-03-30 13:32:14,yes,0.96,True,-
2025-03-30 13:32:15,yes,0.96,True,-
2025-03-30 13:32:15,yes,0.96,True,-
2025-03-30 13:32:15,yes,0.96,True,-
2025-03-30 13:32:16,yes,0.96,True,-
2025-03-30 13:32:16,yes,0.96,True,-
2025-03-30 13:32:16,yes,0.96,True,-
2025-03-30 13:32:16,yes,0.96,True,-
2025-03-30 13:32:17,yes,0.96,True,-
2025-03-30 13:32:17,yes,0.96,True,-
2025-03-30 13:32:17,yes,0.96,True,-
2025-03-30 13:32:18,yes,0.96,True,-
2025-03-30 13:32:18,yes,0.96,True,-
2025-03-30 13:32:18,yes,0.96,True,-
2025-03-30 13:32:18,yes,0.96,True,-
2025-03-30 13:32:19,yes,0.96,True,-
2025-03-30 13:32:19,yes,0.96,True,-
2025-03-30 13:32:19,yes,0.96,True,-
2025-03-30 13:32:19,yes,0.96,True,-
2025-03-30 13:32:20,yes,0.96,True,-
2025-03-30 13:32:20,yes,0.96,True,-
2025-03-30 13:32:20,yes,0.96,True,-
2025-03-30 13:32:20,yes,0.96,True,-
2025-03-30 13:32:21,yes,0.96,True,-
2025-03-30 13:32:21,yes,0.96,True,-
2025-03-30 13:32:21,yes,0.96,True,-
2025-03-30 13:32:21,yes,0.96,True,-
2025-03-30 13:32:22,yes,0.96,True,-
2025-03-30 13:32:22,yes,0.96,True,-
2025-03-30 13:32:22,yes,0.96,True,-
2025-03-30 13:32:22,yes,0.96,True,-
2025-03-30 13:32:23,yes,0.96,True,-
2025-03-30 13:32:23,yes,0.96,True,-
2025-03-30 13:32:23,yes,0.96,True,-
2025-03-30 13:32:24,yes,0.96,True,-
2025-03-30 13:32:24,yes,0.96,True,-
2025-03-30 13:32:24,yes,0.96,True,-
2025-03-30 13:32:24,yes,0.96,True,-
2025-03-30 13:32:25,yes,0.96,True,-
2025-03-30 13:32:25,yes,0.96,True,-
2025-03-30 13:32:25,yes,0.96,True,-
2025-03-30 13:32:25,yes,0.96,True,-
2025-03-30 13:32:26,yes,0.96,True,-
2025-03-30 13:32:26,yes,0.96,True,-
2025-03-30 13:32:26,yes,0.96,True,-
2025-03-30 13:32:27,yes,0.96,True,-
2025-03-30 13:32:27,yes,0.96,True,-
2025-03-30 13:32:27,yes,0.96,True,-
2025-03-30 13:32:27,yes,0.96,True,-
2025-03-30 13:32:28,yes,0.95,True,-
2025-03-30 13:32:28,yes,0.95,True,-
2025-03-30 13:32:28,yes,0.94,True,-
2025-03-30 13:32:28,yes,0.93,True,-
2025-03-30 13:32:29,yes,0.91,True,-
2025-03-30 13:32:29,yes,0.88,False,-
2025-03-30 13:32:29,yes,0.79,False,-
2025-03-30 13:32:29,yes,0.63,False,-
2025-03-30 13:32:30,yes,0.36,False,-
2025-03-30 13:32:30,yes,0.42,False,-
2025-03-30 13:32:30,yes,0.43,False,-
2025-03-30 13:32:30,idle,0.57,False,end
2025-03-30 13:32:31,hello,0.66,False,start
2025-03-30 13:32:31,hello,0.72,False,-
2025-03-30 13:32:31,hello,0.73,False,-
2025-03-30 13:32:31,hello,0.74,False,-
2025-03-30 13:32:32,hello,0.74,False,-
2025-03-30 13:32:32,hello,0.74,False,-
2025-03-30 13:32:32,hello,0.73,False,-
2025-03-30 13:32:33,hello,0.73,False,-
2025-03-30 13:32:33,hello,0.72,False,-
2025-03-30 13:32:33,hello,0.71,False,-
2025-03-30 13:32:33,hello,0.69,False,-
2025-03-30 13:32:34,hello,0.67,False,-
2025-03-30 13:32:34,hello,0.64,False,-
2025-03-30 13:32:34,hello,0.58,False,-
2025-03-30 13:32:34,hello,0.53,False,-
2025-03-30 13:32:35,hello,0.48,False,-
2025-03-30 13:32:35,hello,0.43,False,-
2025-03-30 13:32:35,hello,0.47,False,-
2025-03-30 13:32:35,hello,0.57,False,-
2025-03-30 13:32:36,idle,0.71,False,end
2025-03-30 13:32:36,idle,0.84,False,-
2025-03-30 13:32:36,idle,0.89,False,-
2025-03-30 13:32:37,idle,0.89,False,-
2025-03-30 13:32:37,idle,0.87,False,-
2025-03-30 13:32:37,idle,0.81,False,-
2025-03-30 13:32:37,idle,0.67,False,-
2025-03-30 13:32:38,idle,0.48,False,-
2025-03-30 13:32:38,idle,0.68,False,-
