label,leftCord1_x,leftCord1_y,leftCord1_z,leftCord2_x,leftCord2_y,leftCord2_z,leftCord3_x,leftCord3_y,leftCord3_z,leftCord4_x,leftCord4_y,leftCord4_z,leftCord5_x,leftCord5_y,leftCord5_z,leftCord6_x,leftCord6_y,leftCord6_z,leftCord7_x,leftCord7_y,leftCord7_z,leftCord8_x,leftCord8_y,leftCord8_z,leftCord9_x,leftCord9_y,leftCord9_z,leftCord10_x,leftCord10_y,leftCord10_z,leftCord11_x,leftCord11_y,leftCord11_z,leftCord12_x,leftCord12_y,leftCord12_z,leftCord13_x,leftCord13_y,leftCord13_z,leftCord14_x,leftCord14_y,leftCord14_z,leftCord15_x,leftCord15_y,leftCord15_z,leftCord16_x,leftCord16_y,leftCord16_z,leftCord17_x,leftCord17_y,leftCord17_z,leftCord18_x,leftCord18_y,leftCord18_z,leftCord19_x,leftCord19_y,leftCord19_z,leftCord20_x,leftCord20_y,leftCord20_z,leftCord21_x,leftCord21_y,leftCord21_z,rightCord1_x,rightCord1_y,rightCord1_z,rightCord2_x,rightCord2_y,rightCord2_z,rightCord3_x,rightCord3_y,rightCord3_z,rightCord4_x,rightCord4_y,rightCord4_z,rightCord5_x,rightCord5_y,rightCord5_z,rightCord6_x,rightCord6_y,rightCord6_z,rightCord7_x,rightCord7_y,rightCord7_z,rightCord8_x,rightCord8_y,rightCord8_z,rightCord9_x,rightCord9_y,rightCord9_z,rightCord10_x,rightCord10_y,rightCord10_z,rightCord11_x,rightCord11_y,rightCord11_z,rightCord12_x,rightCord12_y,rightCord12_z,rightCord13_x,rightCord13_y,rightCord13_z,rightCord14_x,rightCord14_y,rightCord14_z,rightCord15_x,rightCord15_y,rightCord15_z,rightCord16_x,rightCord16_y,rightCord16_z,rightCord17_x,rightCord17_y,rightCord17_z,rightCord18_x,rightCord18_y,rightCord18_z,rightCord19_x,rightCord19_y,rightCord19_z,rightCord20_x,rightCord20_y,rightCord20_z,rightCord21_x,rightCord21_y,rightCord21_z
Z - z,0.4560301303863525,0.3790963888168335,1.590498328596368e-07,0.4821573495864868,0.3661409020423889,0.0100886542350053,0.5008695721626282,0.3496538400650024,0.0122772073373198,0.5176644921302795,0.3399760127067566,0.0112059814855456,0.5301883220672607,0.3334707915782928,0.0102048208937048,0.4853469133377075,0.2899881303310394,0.0127188954502344,0.5171944499015808,0.2957803010940552,0.0108432322740554,0.5360522866249084,0.3012168109416961,0.007776896,0.5504400134086609,0.307176262140274,0.005190556,0.4853958487510681,0.290802538,0.004114125,0.5225511193275452,0.2984689474105835,0.002719043,0.5420596599578857,0.3067588806152344,0.000908227,0.557811975,0.3135963082313537,-0.000861521,0.4879862368106842,0.3014563024044037,-0.004518496,0.5242394804954529,0.3086346089839935,-0.005385445,0.5438721179962158,0.3156631290912628,-0.005368367,0.5588368773460388,0.3191299736499786,-0.005979544,0.4920255839824676,0.3198911845684051,-0.012855023,0.5203529596328735,0.3204222619533539,-0.012023723,0.5362064838409424,0.3216532468795776,-0.010163022,0.5493088960647583,0.321165919303894,-0.009407605,0.5783786177635193,0.4116892516613006,2.7142258218759707e-08,0.557888925,0.3965584933757782,-0.000830535,0.5529630184173584,0.3650631904602051,-0.002807702,0.5485653281211853,0.3441289663314819,-0.005579633,0.5424952507019043,0.3254095315933227,-0.008581388,0.5811010003089905,0.309080421924591,-0.001149051,0.5684069395065308,0.2619916498661041,-0.006440143,0.556326151,0.2266812026500702,-0.010990313,0.5461841821670532,0.200231522321701,-0.014440065,0.5854353904724121,0.3054516911506653,-0.005713616,0.5695537328720093,0.2498405575752258,-0.011690009,0.5562343597412109,0.2136489748954773,-0.016695887,0.5461955666542053,0.184944287,-0.020262774,0.5835230946540833,0.307338535785675,-0.010824172,0.5695340037345886,0.248702735,-0.018403983,0.5553308725357056,0.2126054763793945,-0.023903733,0.5439739227294922,0.1858699470758438,-0.026940057,0.5745059251785278,0.313489556312561,-0.015912443,0.5630740523338318,0.2652449607849121,-0.023502395,0.5527547001838684,0.2379522025585174,-0.027155111,0.5436640381813049,0.2168386876583099,-0.029030565
Z - z,0.4321910142898559,0.736138105,1.847185018277742e-07,0.4452604055404663,0.703247607,0.004156673,0.4655719995498657,0.6725175380706787,0.002139746,0.4826880693435669,0.6529224514961243,-0.001103241,0.4929310977458954,0.6366217136383057,-0.004458034,0.4618708789348602,0.6442366242408752,-0.006047423,0.4930924475193023,0.6429176330566406,-0.012056202,0.5116289258003235,0.6469305753707886,-0.015515413,0.525605321,0.6511597037315369,-0.01765422,0.4615270793437958,0.6560176610946655,-0.012461941,0.4970398843288421,0.654056966,-0.017198194,0.5169416666030884,0.6604179739952087,-0.018624686,0.5311625599861145,0.6644949316978455,-0.01985657,0.4626942574977875,0.6764096021652222,-0.018319897,0.4983810484409332,0.675374448,-0.021917542,0.5182216763496399,0.679415226,-0.021645501,0.5320690870285034,0.681747317,-0.021557964,0.4655173718929291,0.7027027606964111,-0.023933196,0.4947162270545959,0.6978533267974854,-0.025477286,0.5120906829833984,0.6958020925521851,-0.024357993,0.5254343152046204,0.693939745,-0.023572423,0.5488651990890503,0.771599531,8.145227070599503e-08,0.5284289121627808,0.7365932464599609,-0.003131254,0.5263506174087524,0.6885219812393188,-0.005797686,0.5293915271759033,0.6542357206344604,-0.008691755,0.5298276543617249,0.6254787445068359,-0.01189895,0.5378642678260803,0.6632903218269348,-0.008820954,0.5337864756584167,0.6182897090911865,-0.018576615,0.5296878218650818,0.582673192,-0.026060529,0.5270858407020569,0.5521689653396606,-0.03143277,0.5437504053115845,0.665961504,-0.012851882,0.5366969108581543,0.6193683743476868,-0.02207786,0.5326833128929138,0.5838397145271301,-0.028669858,0.5308017134666443,0.5514382123947144,-0.033423837,0.5480356216430664,0.6755762696266174,-0.017353933,0.5416420102119446,0.6315229535102844,-0.026399922,0.5373092889785767,0.5990241765975952,-0.03142966,0.5342937707901001,0.5705504417419434,-0.034607816,0.5503575205802917,0.6908318400382996,-0.022153294,0.5453896522521973,0.6554012894630432,-0.03036624,0.541500986,0.6306239366531372,-0.033928525,0.5387409329414368,0.608539343,-0.036091283
Z - z,0.3676910102367401,0.4070155918598175,8.211214819198176e-09,0.3705980181694031,0.3735443651676178,0.004399749,0.3691871464252472,0.3323640525341034,0.004696724,0.3646971881389618,0.2995341718196869,0.003952876,0.3600237965583801,0.2759338617324829,0.002712367,0.3790825307369232,0.319379985,-0.004550697,0.3640535473823547,0.2663049697875976,-0.009457227,0.3520942032337188,0.2366853356361389,-0.01123341,0.3427165448665619,0.2147582173347473,-0.012038951,0.3770603239536285,0.3191852867603302,-0.009885061,0.3594073355197906,0.2597559094429016,-0.016108301,0.3468588292598724,0.2273754775524139,-0.01864011,0.3373453021049499,0.2028636634349823,-0.019747414,0.3700264394283294,0.3212159872055053,-0.014480687,0.3544814884662628,0.2632080912590027,-0.0193744,0.343842477,0.2309654653072357,-0.021416415,0.3359705507755279,0.2062111496925354,-0.022391532,0.3586589992046356,0.3250843584537506,-0.018409977,0.3482613861560821,0.2790318131446838,-0.022168143,0.3427565991878509,0.2530633211135864,-0.02301402,0.3390049040317535,0.2308185696601867,-0.023184758,0.2425193339586258,0.3862178325653076,2.3510064295351185e-07,0.2679576575756073,0.3884530961513519,0.003441311,0.283952534,0.3645435273647308,0.003943173,0.2938499450683594,0.3497781753540039,0.002611532,0.3020689487457275,0.3417109847068786,0.00157992,0.2743292152881622,0.2937946617603302,0.004837009,0.302832693,0.3018897771835327,-0.001115909,0.3229263722896576,0.3092960715293884,-0.00711281,0.3386500477790832,0.3166652917861938,-0.011253345,0.272989959,0.2928642332553863,-0.000803689,0.3061875998973846,0.3021925985813141,-0.006062162,0.3266632556915283,0.3126955330371856,-0.009604872,0.3436764776706695,0.3208254873752594,-0.01199844,0.2746740579605102,0.3041838109493255,-0.007059316,0.3080109357833862,0.3129006922245025,-0.011888699,0.328808993,0.3214213848114013,-0.013990539,0.3442071676254272,0.3280016481876373,-0.015057228,0.278143972,0.3241606652736664,-0.013442954,0.3057953715324402,0.3269838690757751,-0.016270991,0.3228909373283386,0.3297609686851501,-0.016673394,0.3361567854881286,0.3320698142051697,-0.016842034
Z - z,0.2534092962741852,0.4276910722255707,2.1974287278681007e-07,0.2820957005023956,0.4130097031593323,0.003488674,0.2957839369773865,0.3765789568424225,0.003939224,0.3043931722640991,0.3516466915607452,0.002453953,0.3112279772758484,0.3387467563152313,0.001372847,0.2803975939750671,0.3189781904220581,0.00487331,0.3106187880039215,0.3208264708518982,-0.000160264,0.3296791017055511,0.3263551592826843,-0.005049963,0.3439129889011383,0.3327821791172027,-0.008605047,0.2773830592632293,0.3201181888580322,-0.000529082,0.3136966526508331,0.3260524868965149,-0.005530669,0.3337599635124206,0.3367500901222229,-0.008351393,0.3496648073196411,0.3453390300273895,-0.010118552,0.2779593169689178,0.3314847946166992,-0.00649751,0.3138446509838104,0.3385751843452453,-0.010845904,0.3341850936412811,0.3473672866821289,-0.012560509,0.3489730358123779,0.3547798693180084,-0.013387891,0.2811184823513031,0.3506284356117248,-0.012624915,0.3096685707569122,0.3501924276351928,-0.015101641,0.3264346420764923,0.3527977764606476,-0.015479308,0.3395627439022064,0.3555236160755157,-0.015565605,0.3783133327960968,0.4367536306381225,1.8357678044367276e-08,0.3744992315769195,0.4013624191284179,0.008121794,0.3707754611968994,0.3656339049339294,0.0101319979876279,0.3667497932910919,0.3405579030513763,0.0100867776200175,0.3619337975978851,0.3212270140647888,0.009444577,0.3825955390930176,0.3459013402462005,0.002765739,0.3720842003822326,0.2990701198577881,-5.12e-05,0.3638442456722259,0.2725921273231506,-0.001177925,0.3570999503135681,0.2524314522743225,-0.001909694,0.381101131,0.3472515046596527,-0.004435835,0.3688398897647857,0.292240560054779,-0.008312829,0.3603699505329132,0.2644285559654236,-0.010237707,0.3531899452209472,0.2438475489616394,-0.011283014,0.3750055432319641,0.3519372642040252,-0.011129415,0.3624049723148346,0.300487757,-0.015299498,0.3549008965492248,0.2696062326431274,-0.018369624,0.3494181931018829,0.2457426935434341,-0.02029168,0.3646664321422577,0.3588102161884308,-0.016813712,0.3566048145294189,0.3170312345027923,-0.020354804,0.352754682,0.2938863933086395,-0.021653662,0.3495584726333618,0.2744535207748413,-0.022478793
Z - z,0.4771353006362915,0.5995097756385803,1.8541638269198304e-07,0.4982456862926483,0.5773898363113403,0.00213032,0.5144035816192627,0.5505257248878479,0.000568515,0.5282461643218994,0.5335671305656433,-0.00240763,0.5388826131820679,0.5231528282165527,-0.00512147,0.4994367063045501,0.5061951279640198,-0.00259944,0.5300138592720032,0.4992579221725464,-0.00919182,0.549076259,0.4994034767150879,-0.014040355,0.5635110139846802,0.5007530450820923,-0.017100798,0.4985571503639221,0.512968123,-0.007746379,0.5329917669296265,0.5035507678985596,-0.013183879,0.5525407791137695,0.5040864944458008,-0.015826235,0.5676001310348511,0.504990816,-0.017791256,0.5010572671890259,0.5279917120933533,-0.013068562,0.5348230600357056,0.5230786204338074,-0.017412027,0.5535643696784973,0.5236135721206665,-0.01825783,0.5670061111450195,0.5247127413749695,-0.018798823,0.5064435005187988,0.5482375025749207,-0.018526755,0.5328184366226196,0.5414876341819763,-0.020378787,0.5478594899177551,0.5379084348678589,-0.019848337,0.5596869587898254,0.5353052020072937,-0.019586077,0.588459849,0.6237784624099731,5.1225942598875924e-08,0.5667822957038879,0.5835099220275879,0.009227738,0.5660405158996582,0.5421547889709473,0.0104367630556225,0.5674304962158203,0.5169228315353394,0.008659697,0.5679239630699158,0.4934478402137756,0.005904097,0.5854559540748596,0.512620211,0.00460272,0.577756405,0.4681376814842224,-5.17e-05,0.5719606280326843,0.4365984201431274,-0.00427311,0.5678018927574158,0.4080910980701446,-0.008133813,0.5892780423164368,0.5154169797897339,-0.005233668,0.5776001811027527,0.4608089029788971,-0.010874968,0.5708997845649719,0.4235900044441223,-0.016218524,0.5665501952171326,0.3902763426303863,-0.021018123,0.5888677835464478,0.52300787,-0.014697857,0.5791172385215759,0.469290555,-0.020383285,0.5732067823410034,0.4334480762481689,-0.024794808,0.5696239471435547,0.4024491906166076,-0.028844325,0.5842201113700867,0.5313482880592346,-0.023485424,0.5799090266227722,0.4922977089881897,-0.029612888,0.5769190192222595,0.4654170870780945,-0.033466134,0.5753167271614075,0.4400136470794678,-0.036970735
Z - z,0.3104432225227356,0.7554429173469543,-4.14e-08,0.309944599866867,0.7110069394111633,0.0136465458199381,0.305448055,0.6736413240432739,0.0163188725709915,0.2983043789863586,0.6499932408332825,0.0158531982451677,0.2897618412971496,0.63420862,0.0139248063787817,0.3117511868476867,0.6491747498512268,0.003080704,0.298126608133316,0.6053445339202881,-0.001855483,0.288088322,0.5808637142181396,-0.004536944,0.2787595987319946,0.5604288578033447,-0.006460883,0.3099877834320068,0.6555011868476868,-0.008259843,0.2939003407955169,0.6005370616912842,-0.013733923,0.2822836637496948,0.5686407089233398,-0.015918765,0.2716777920722961,0.5427296161651611,-0.017820466,0.3030756711959839,0.6674058437347412,-0.018673321,0.2910749316215515,0.6108264327049255,-0.02372204,0.2829152941703796,0.5792771577835083,-0.025811125,0.2760955691337585,0.5530252456665039,-0.027781649,0.2923307716846466,0.6815975308418274,-0.027676465,0.2863423824310303,0.6399618983268738,-0.034363132,0.2834028303623199,0.612941325,-0.037431322,0.2809065878391266,0.5883710980415344,-0.039712101,0.1899358928203582,0.7356302738189697,1.790474755125615e-07,0.209390714764595,0.7054765820503235,0.002811887,0.2265097796916961,0.6681258082389832,0.001398732,0.2394683212041854,0.6414910554885864,-0.001068751,0.2466127127408981,0.6203851103782654,-0.003678207,0.2162155359983444,0.633359432,-0.005266175,0.2477541267871856,0.634706974,-0.011554816,0.2662243247032165,0.6395915746688843,-0.015358044,0.2799442708492279,0.6453852653503418,-0.017755624,0.2130256593227386,0.6448683738708496,-0.010487533,0.250192255,0.6463372707366943,-0.01596682,0.2688979506492615,0.6542742848396301,-0.017535467,0.2822621166706085,0.6605877876281738,-0.018662257,0.2123374044895172,0.6656855344772339,-0.015426249,0.2490453720092773,0.6648862361907959,-0.019893423,0.2676591277122497,0.6692954301834106,-0.019809436,0.2803687751293182,0.673009455,-0.019568074,0.2138760834932327,0.6919870376586914,-0.020216258,0.2433397471904754,0.6867068409919739,-0.022615811,0.2600698471069336,0.6839596033096313,-0.022188703,0.2727068364620209,0.681924045,-0.021734491
Z - z,0.5635680556297302,0.4199802875518799,1.1733199301033893e-07,0.5471397638320923,0.404397577,0.001815608,0.54399097,0.3683112859725952,0.002390104,0.5449320077896118,0.3443768620491028,0.00138198,0.545786977,0.3252768516540527,0.000249827,0.5540435314178467,0.3277961313724518,0.005261963,0.5519326329231262,0.2853685617446899,0.002229056,0.5502871870994568,0.2522551715373993,-0.001011246,0.5495023131370544,0.2263984084129333,-0.003501566,0.5586853623390198,0.3247123062610626,-8.07e-05,0.5561040043830872,0.2782177329063415,-0.003019026,0.5535234808921814,0.2439054101705551,-0.006668867,0.551544189,0.2139454782009124,-0.009354308,0.5616748332977295,0.3244410753250122,-0.00610293,0.558766246,0.2774165272712707,-0.009835658,0.554873526,0.2421915233135223,-0.01356783,0.5519881248474121,0.2135608494281768,-0.0160388,0.5613130331039429,0.3266730904579162,-0.012293191,0.5572648644447327,0.2864226102828979,-0.015789971,0.5543326735496521,0.2597905695438385,-0.017567186,0.551819921,0.2377543002367019,-0.018841995,0.444269984960556,0.3938810527324676,2.272860371022034e-07,0.4615600109100342,0.3786582052707672,0.004863849,0.4753700196743011,0.3502871394157409,0.004652923,0.4867859184741974,0.3314213454723358,0.002559193,0.4955194592475891,0.3184200525283813,0.000443923,0.4693451821804046,0.2985560894012451,0.003665087,0.5021190643310547,0.3052807748317718,-0.001550949,0.5240070223808289,0.3083755075931549,-0.006684712,0.5409084558486938,0.310939223,-0.010407905,0.469276488,0.2993284463882446,-0.002757948,0.5066461563110352,0.3042620718479156,-0.007387369,0.5295337438583374,0.3089911639690399,-0.010167224,0.5477246046066284,0.311859667,-0.012282596,0.4714371562004089,0.3091704547405243,-0.00942299,0.5093992352485657,0.3141985833644867,-0.013512844,0.5321582555770874,0.3180630803108215,-0.014823289,0.5493534803390503,0.3189396858215332,-0.015689993,0.4754623472690582,0.3275850415229797,-0.016060686,0.5055055022239685,0.3261406719684601,-0.01846667,0.5235735177993774,0.3263764679431915,-0.018639483,0.538462758,0.3245517909526825,-0.018792316
Z - z,0.8945757150650024,0.4473021924495697,-3.5e-08,0.8662552833557129,0.4325824081897735,0.019906757,0.8503119349479675,0.3971547484397888,0.0291391126811504,0.8388461470603943,0.3756405115127563,0.032509428,0.8255075812339783,0.3596944510936737,0.0351060777902603,0.86633116,0.3227096498012543,0.0302515272051095,0.8529098033905029,0.2811577022075653,0.032232236,0.8426945805549622,0.2537358403205871,0.0301348883658647,0.8339929580688477,0.2311379015445709,0.027041022,0.8750658631324768,0.3173330426216125,0.0140572050586342,0.8583998084068298,0.2640088498592376,0.0142130041494965,0.8483943343162537,0.2292020618915558,0.0100496299564838,0.8407179713249207,0.1995057463645935,0.006214842,0.8824721574783325,0.3189292848110199,-0.002606565,0.8692488074302673,0.2623938620090484,-0.005280857,0.860135019,0.2269947230815887,-0.009088575,0.8537730574607849,0.1961735188961029,-0.01228409,0.8880607485771179,0.3253403902053833,-0.018250864,0.8780795335769653,0.2787704169750213,-0.022776827,0.8700711131095886,0.2505631744861603,-0.025462965,0.8637270331382751,0.2234805822372436,-0.027752908,0.7604022026062012,0.4024285972118377,2.4618299221401685e-07,0.7749980092048645,0.3799693882465362,0.004035751,0.7922599911689758,0.3579708933830261,0.002885042,0.8106794953346252,0.3515020608901977,-0.000130773,0.8253758549690247,0.3486143946647644,-0.002924859,0.7856400012969971,0.3137075901031494,0.001661652,0.8207343220710754,0.3181343674659729,-0.004500377,0.8436711430549622,0.3227395713329315,-0.009460663,0.8611109256744385,0.3281366527080536,-0.012822847,0.7890231609344482,0.3156750798225403,-0.004544895,0.8275905847549438,0.318361759,-0.00917032,0.8498163819313049,0.3250805139541626,-0.011281145,0.8668422102928162,0.3285673260688782,-0.012963198,0.794611394,0.3269832134246826,-0.01106482,0.8326234817504883,0.3275601267814636,-0.01487007,0.8538564443588257,0.3318522572517395,-0.015057172,0.8695222735404968,0.3335728049278259,-0.015266164,0.8017515540122986,0.3461761176586151,-0.017697815,0.8314058780670166,0.3445208370685577,-0.01974446,0.8491105437278748,0.3451350629329681,-0.019025177,0.8634000420570374,0.3438473045825958,-0.018530838
Z - z,0.5329225063323975,0.7188989520072937,3.682072815536231e-07,0.5491876006126404,0.6611229181289673,0.005878978,0.5835496187210083,0.6098856329917908,0.001927286,0.6202877759933472,0.5834369659423828,-0.004116375,0.645541251,0.5657418966293335,-0.009568517,0.5798136591911316,0.5608815550804138,-0.008039233,0.6383363604545593,0.5644786357879639,-0.020088749,0.671604335,0.5786430239677429,-0.026716122,0.6947659850120544,0.594262421,-0.030149363,0.5840990543365479,0.5755943059921265,-0.018410221,0.6480553150177002,0.5684735774993896,-0.027413119,0.6826421022415161,0.5813429355621338,-0.029311828,0.7069038152694702,0.5936722159385681,-0.030084465,0.5908083319664001,0.6067461371421814,-0.028640199,0.6551826596260071,0.5997054576873779,-0.035728682,0.6899255514144897,0.6069241762161255,-0.035528485,0.7146887183189392,0.6116315126419067,-0.035087917,0.6006022691726685,0.6515734791755676,-0.038615871,0.6528871059417725,0.6460703611373901,-0.042379189,0.6821593046188354,0.644117534,-0.04122936,0.7057101130485535,0.6401605010032654,-0.04006125,0.7301833629608154,0.7775978446006775,1.4406188597604341e-07,0.697977602,0.7316271066665649,-0.006424544,0.6790130734443665,0.6511304378509521,-0.010680201,0.6685101985931396,0.5953972339630127,-0.015751546,0.6555366516113281,0.5482139587402344,-0.021547269,0.695561945,0.5881620049476624,-0.013287027,0.6831498146057129,0.5092234015464783,-0.028831411,0.6707099080085754,0.4564968943595886,-0.040924296,0.6597563028335571,0.4093773365020752,-0.050352342,0.7101945877075195,0.5862178802490234,-0.021307971,0.6994955539703369,0.5022634863853455,-0.037415262,0.6904962658882141,0.4410630464553833,-0.050931782,0.682884932,0.3845581412315368,-0.060772821,0.7262886762619019,0.598914385,-0.03039841,0.7195537090301514,0.5155941843986511,-0.046849873,0.7139196395874023,0.4583731889724731,-0.05863706,0.7081140279769897,0.4087695479393005,-0.066596955,0.7433708906173706,0.6238203048706055,-0.040135104,0.7382746934890747,0.5591433644294739,-0.056458663,0.7318504452705383,0.5141889452934265,-0.065687969,0.7255012392997742,0.4748552143573761,-0.071888156
Z - z,0.5521256327629089,0.7793856859207153,-1.19e-07,0.5338373780250549,0.736514688,0.021688409,0.5283080339431763,0.6991798281669617,0.0269440356642007,0.522161603,0.674083948,0.0273390151560306,0.5162168741226196,0.6481607556343079,0.0257249679416418,0.5520598292350769,0.6670424938201904,0.006241501,0.5375566482543945,0.6272501349449158,0.001502305,0.5268430709838867,0.601410985,-0.00108691,0.517398477,0.579585075,-0.004142776,0.5552313327789307,0.6732351183891296,-0.010918062,0.5369725227355957,0.6232460737228394,-0.018605238,0.5252276659011841,0.5917690992355347,-0.022815812,0.5157633423805237,0.5658138990402222,-0.026969891,0.5534554123878479,0.686252773,-0.02661112,0.5393128991127014,0.6349418759346008,-0.036458433,0.5297748446464539,0.6039243936538696,-0.041705951,0.5222052335739136,0.5759611129760742,-0.04618188,0.5469352602958679,0.7022729516029358,-0.039989367,0.5423564910888672,0.6657609343528748,-0.05416951,0.5373878479003906,0.6376101970672607,-0.063074037,0.5328445434570312,0.6113364696502686,-0.069731891,0.4369775652885437,0.7437726259231567,1.364812050042019e-07,0.4549898207187652,0.7109367251396179,0.005416163,0.4720724821090698,0.6766718626022339,0.004947139,0.4842942059040069,0.6537567973136902,0.002811326,0.490524024,0.6341769695281982,0.000431189,0.467944473,0.6456746459007263,-0.001196233,0.4985289275646209,0.6493557691574097,-0.006162459,0.5163918733596802,0.6558441519737244,-0.009511182,0.5289463400840759,0.662052572,-0.011709332,0.4681377112865448,0.6566880345344543,-0.007668234,0.5024753212928772,0.6601942777633667,-0.01147975,0.5205096006393433,0.6683098077774048,-0.012970607,0.5330236554145813,0.6754930019378662,-0.014226803,0.4694100618362427,0.6771978735923767,-0.013760246,0.5032734274864197,0.6774241924285889,-0.016816944,0.5212973356246948,0.6824511289596558,-0.016959988,0.5340853929519653,0.6862571835517883,-0.017079674,0.4721934497356415,0.7043303847312927,-0.019522626,0.4997327029705047,0.6984380483627319,-0.02072758,0.5155966281890869,0.6972143650054932,-0.019837746,0.5281933546066284,0.696289063,-0.01916597
