label,cord1_x,cord1_y,cord1_z,cord2_x,cord2_y,cord2_z,cord3_x,cord3_y,cord3_z,cord4_x,cord4_y,cord4_z,cord5_x,cord5_y,cord5_z,cord6_x,cord6_y,cord6_z,cord7_x,cord7_y,cord7_z,cord8_x,cord8_y,cord8_z,cord9_x,cord9_y,cord9_z,cord10_x,cord10_y,cord10_z,cord11_x,cord11_y,cord11_z,cord12_x,cord12_y,cord12_z,cord13_x,cord13_y,cord13_z,cord14_x,cord14_y,cord14_z,cord15_x,cord15_y,cord15_z,cord16_x,cord16_y,cord16_z,cord17_x,cord17_y,cord17_z,cord18_x,cord18_y,cord18_z,cord19_x,cord19_y,cord19_z,cord20_x,cord20_y,cord20_z,cord21_x,cord21_y,cord21_z
Three - 3,0.7662055492401123,0.5249000191688538,7.723185291297342e-08,0.7318362,0.4909310638904571,0.001144806,0.7250202894210815,0.4328337907791137,0.002246992,0.7391418814659119,0.3942858874797821,0.005408903,0.7553728818893433,0.3808976709842682,0.007394695,0.7406213283538818,0.412897914648056,-0.01583864,0.7386569380760193,0.3385403454303741,-0.016746152,0.738558829,0.3004558980464935,-0.013568463,0.7401003837585449,0.2746714353561401,-0.01060716,0.7665535807609558,0.4111213386058807,-0.015982198,0.7625265717506409,0.3333414494991302,-0.016949888,0.7593910098075867,0.2933115065097809,-0.014826938,0.7594070434570312,0.2683381140232086,-0.012193426,0.7879146337509155,0.4180265665054321,-0.014346343,0.7889692187309265,0.3548300266265869,-0.017579459,0.7859158515930176,0.3167767524719238,-0.021602439,0.785810649,0.2959617078304291,-0.023625344,0.8035832047462463,0.4321159422397613,-0.011218829,0.7930846810340881,0.4117011129856109,-0.013260229,0.782536507,0.419224202632904,-0.012344421,0.7780699133872986,0.4355205297470093,-0.01066735
Three - 3,0.7642960548400879,0.8445789217948914,9.498565844978657e-08,0.707210898,0.74281323,-0.01070722,0.7073332667350769,0.6217165589332581,-0.018279007,0.7447305917739868,0.5324172377586365,-0.017641945,0.7810414433479309,0.5017320513725281,-0.017844664,0.7720639705657959,0.6111201047897339,-0.067956239,0.7693896293640137,0.4402852058410644,-0.082545631,0.7676618695259094,0.3429969251155853,-0.084920362,0.7701525688171387,0.2675191462039947,-0.085404508,0.8281196355819702,0.6317272782325745,-0.062658593,0.8337406516075134,0.4372090101242065,-0.078066379,0.8346174955368042,0.3324795961380005,-0.07824672,0.8374813199043274,0.2581049799919128,-0.076883182,0.8648977279663086,0.6566938161849976,-0.052612256,0.883638322,0.4900029301643371,-0.066067547,0.8787212371826172,0.3997699022293091,-0.069152102,0.8720539212226868,0.3457159698009491,-0.069008283,0.8828465938568115,0.6840736865997314,-0.040550686,0.8667508959770203,0.5832101702690125,-0.047493491,0.8341291546821594,0.546629012,-0.044104185,0.8082715272903442,0.5371636152267456,-0.039576031
Three - 3,0.7131248116493225,0.5936932563781738,-1.46e-07,0.6940034627914429,0.5416520237922668,-0.011982595,0.6979674696922302,0.4847453236579895,-0.014843803,0.7163670659065247,0.4535488784313202,-0.013031287,0.7308103442192078,0.4522292613983154,-0.010165852,0.7335334420204163,0.5000084042549133,-0.026754079,0.7328730821609497,0.4328798651695251,-0.031151347,0.7315911054611206,0.3985059261322021,-0.033446688,0.7321889400482178,0.3703125119209289,-0.035374451,0.7523261904716492,0.5117239952087402,-0.020042514,0.7505926489830017,0.434466540813446,-0.020917835,0.744269848,0.3963738977909088,-0.01813915,0.7399410009384155,0.3712669312953949,-0.01750396,0.7635646462440491,0.5196293592453003,-0.012836839,0.7594822645187378,0.4514327943325043,-0.012623432,0.7464989423751831,0.4421033561229706,-0.008548756,0.7371851205825806,0.4460231959819793,-0.006331646,0.7677386999130249,0.5271179676055908,-0.006770582,0.7607470154762268,0.4797969460487366,-0.007196994,0.7508788108825684,0.4679766595363617,-0.005321613,0.7431500554084778,0.4683266878128052,-0.003849551
Three - 3,0.5742972493171692,0.7764734029769897,-9.59e-08,0.5528965592384338,0.7300068736076355,-0.008870947,0.5548608899116516,0.6732627153396606,-0.013310416,0.5719336867332458,0.6333321332931519,-0.013676138,0.5852172374725342,0.6208910942077637,-0.013810319,0.57958293,0.6849492788314819,-0.03220316,0.579653263,0.6137099266052246,-0.035747614,0.5773707032203674,0.5761762261390686,-0.033237461,0.577297568,0.5494565963745117,-0.031510808,0.6005864143371582,0.6924355030059814,-0.027592555,0.5994133353233337,0.6096782684326172,-0.034208816,0.5946559309959412,0.5715122222900391,-0.031478252,0.5928927659988403,0.5474043488502502,-0.028811688,0.6147254109382629,0.6980486512184143,-0.021239372,0.6135614514350891,0.6236057877540588,-0.026584003,0.608695924,0.5870518684387207,-0.02490072,0.6057978272438049,0.5650846362113953,-0.023026161,0.6222687363624573,0.7034943699836731,-0.014757688,0.6171519756317139,0.6519384980201721,-0.01793216,0.6093841195106506,0.629112184,-0.016589092,0.6045162677764893,0.6177127361297607,-0.014955909
Three - 3,0.2844941020011902,0.4835982322692871,2.844834625648218e-07,0.2623521089553833,0.4441768527030945,0.004590347,0.2630738317966461,0.3960948586463928,0.00398327,0.2784625887870788,0.3631505370140075,0.004424897,0.2912033200263977,0.3462388515472412,0.004252759,0.2610538005828857,0.3775806128978729,-0.015636349,0.2669809758663177,0.3095234632492065,-0.019209193,0.2731178402900696,0.2741242051124573,-0.018312005,0.2783105373382568,0.249393954873085,-0.016709732,0.2804768085479736,0.380478173,-0.019613922,0.2907614111900329,0.3017160892486572,-0.024538588,0.2959020435810089,0.2599869966506958,-0.025879504,0.2991713285446167,0.2310922890901565,-0.025428191,0.300276518,0.391085535287857,-0.021174978,0.3164132833480835,0.3272620439529419,-0.025329828,0.3227032124996185,0.2922430038452148,-0.028284293,0.3271968066692352,0.2667939364910126,-0.029834166,0.3173032402992248,0.4073033332824707,-0.021138236,0.3222801983356476,0.3864054679870605,-0.021414213,0.3161588609218597,0.3953480422496795,-0.018175773,0.3121474087238312,0.4035238027572632,-0.015526826
Three - 3,0.3335492610931396,0.4823634624481201,2.882727017095022e-07,0.3124352693557739,0.4457897245883941,0.000997242,0.3132228851318359,0.3945549726486206,-0.000758407,0.3269886076450348,0.3578885793685913,-0.001190996,0.3388243019580841,0.3356559872627258,-0.002083357,0.3080588281154632,0.3789693713188171,-0.016206769,0.313538134,0.3149878978729248,-0.021371329,0.3207612335681915,0.279257208,-0.022545822,0.3273895680904388,0.2545830011367798,-0.022423305,0.3272650837898254,0.3838157653808594,-0.01929649,0.3364201784133911,0.3111234903335571,-0.023449574,0.3443456888198852,0.270219624,-0.025278062,0.3503481149673462,0.2435248345136642,-0.025957283,0.3469529449939728,0.3941088318824768,-0.020905212,0.3610945343971252,0.3352690041065216,-0.024678737,0.3694826960563659,0.302711546,-0.028394002,0.3761728405952453,0.279971033334732,-0.031064356,0.3649766445159912,0.4079382419586181,-0.021498991,0.3682018518447876,0.3881814181804657,-0.023101674,0.3631671369075775,0.3948408663272857,-0.021842936,0.3596264719963074,0.401286244,-0.02082477
Three - 3,0.4555782079696655,0.8811723589897156,1.480517966001571e-07,0.4369595646858215,0.8378104567527771,-0.011004755,0.4388283491134643,0.7866861820220947,-0.019605454,0.4554139077663421,0.752828836,-0.024393955,0.4708636999130249,0.7386190891265869,-0.029088959,0.4487775862216949,0.7995085120201111,-0.037110496,0.451861173,0.7305129170417786,-0.048065741,0.4546836912631988,0.6892756223678589,-0.052202836,0.4582138657569885,0.6580057740211487,-0.054078538,0.4713523983955383,0.8112139701843262,-0.035208471,0.4798619747161865,0.7371613383293152,-0.04495459,0.4837538599967956,0.6929253339767456,-0.047858462,0.4872496128082275,0.6600233316421509,-0.049459796,0.4902486801147461,0.8195328712463379,-0.031752706,0.4913672804832458,0.7429276704788208,-0.039802685,0.4848069250583648,0.7126951813697815,-0.039793748,0.4807640016078949,0.6984987854957581,-0.038911559,0.5027576088905334,0.822454572,-0.028411886,0.4940600097179413,0.7664055228233337,-0.034273803,0.4807189106941223,0.7563965916633606,-0.031906713,0.4739287793636322,0.7607771754264832,-0.029031262
Three - 3,0.6138972640037537,0.5288096070289612,1.2038724150897906e-07,0.5862817168235779,0.4979891180992126,0.004016721,0.582616389,0.453327864408493,0.005541855,0.5956186056137085,0.4209288656711578,0.007385176,0.6086527109146118,0.4063137769699096,0.008527176,0.5910694599151611,0.4084065854549408,-0.006878946,0.5939607620239258,0.3403966128826141,-0.008866688,0.5979278683662415,0.3042126297950744,-0.007689773,0.6027075052261353,0.28042841,-0.006021324,0.614223301,0.4071662724018097,-0.010017633,0.6193918585777283,0.3333804309368133,-0.011362175,0.6219028830528259,0.2944660484790802,-0.010270569,0.6254026889801025,0.2708094120025635,-0.008291512,0.6343616843223572,0.4172473847866058,-0.012068219,0.645055354,0.3554144203662872,-0.014051834,0.6472786068916321,0.3233441114425659,-0.016405044,0.6501434445381165,0.3058914840221405,-0.017490132,0.6496334671974182,0.4365626871585846,-0.013057212,0.6482173204421997,0.4141140580177307,-0.013009794,0.6409199833869934,0.4184586405754089,-0.010634646,0.636835515,0.4306041896343231,-0.008191015
Three - 3,0.3337675333023071,0.895896316,1.0056959354187712e-07,0.3139320909976959,0.8482067584991455,-0.012766598,0.3155197501182556,0.7919306755065918,-0.022294886,0.3326494693756103,0.7509381771087646,-0.026801025,0.348191350698471,0.7320758104324341,-0.030876255,0.3236550092697143,0.8136709332466125,-0.045675386,0.3295434415340423,0.7416822910308838,-0.057822458,0.3343528509140014,0.6966699361801147,-0.061622623,0.3383077681064605,0.6623726487159729,-0.063201278,0.3471768796443939,0.8248710632324219,-0.041198872,0.359042078256607,0.7440179586410522,-0.051460437,0.3653624951839447,0.6974698305130005,-0.052190404,0.3702936768531799,0.666395903,-0.052616328,0.3677289485931396,0.8305016756057739,-0.034854434,0.3711108267307281,0.7484878301620483,-0.043194529,0.3628917038440704,0.7239609956741333,-0.041540481,0.3558050394058227,0.7196405529975891,-0.039367262,0.3818023800849914,0.8309745192527771,-0.028632458,0.3758025467395782,0.7709602117538452,-0.035711534,0.3646084666252136,0.7594261765480042,-0.034709577,0.3582311570644378,0.764339805,-0.032599151
Three - 3,0.4485839605331421,0.817380965,2.448966824886156e-07,0.4297150373458862,0.7776219248771667,-0.001314155,0.4308939278125763,0.7290448546409607,-0.009049043,0.4438549876213074,0.6913897395133972,-0.014281955,0.4530558884143829,0.6677467823028564,-0.020248897,0.4249559342861175,0.7310563921928406,-0.037029512,0.4277254045009613,0.6637596487998962,-0.04790936,0.4317696690559387,0.6240131855010986,-0.05212535,0.4349577128887176,0.5935078859329224,-0.054289497,0.4448434710502624,0.7446240782737732,-0.039960235,0.4493194818496704,0.6676249504089355,-0.052321635,0.4535762369632721,0.6207265853881836,-0.056222111,0.4560117721557617,0.5860777497291565,-0.058918536,0.4644313454627991,0.7540963888168335,-0.040166028,0.4744104444980621,0.6828932762145996,-0.04978912,0.477971076965332,0.6358646154403687,-0.053096563,0.4809139966964721,0.601892889,-0.055236518,0.4819290339946747,0.7588568925857544,-0.039029215,0.4819550216197967,0.7139975428581238,-0.043021798,0.4746369123458862,0.7030439972877502,-0.041690629,0.4699795842170715,0.6949052810668945,-0.041186601
